Year,Annual mean temperature 
2006,15.22362925
2007,14.62614848
2008,15.27496236
2009,15.39965973
2010,15.00851084
2011,14.63230031
2012,14.62353668
2013,14.58390452
2014,15.38450012
2015,14.33171743
2016,15.19544881
2017,15.15409749
2018,14.81725972
2019,15.55296987
2020,16.16938426
2021,15.46212667
2022,15.54337209
2023,14.99890289
2024,15.17669322
2025,15.68944956
2026,15.00451304
2027,15.18945719
2028,15.29848378
2029,16.33667145
2030,15.93836619
2031,16.06298472
2032,16.50911102
2033,16.2906484
2034,16.49033508
2035,16.1040919
2036,16.62764638
2037,17.01893514
2038,17.53604533
2039,16.43812714
2040,15.90003357
2041,17.27391459
2042,17.10779215
2043,16.96177572
2044,15.86132202
2045,16.02768606
2046,17.28073018
2047,17.35843048
2048,17.15916341
2049,17.54577535
2050,16.4675944
2051,17.45196431
2052,16.80003255
2053,18.09901326
2054,17.78282318
2055,18.85986481
2056,17.71575572
2057,17.46893209
2058,17.48135529
2059,17.97749227
2060,17.67676951
2061,18.39081217
2062,19.35864665
2063,18.1224762
2064,17.86686351
2065,18.79565074
2066,18.00882365
2067,18.54589488
2068,18.35181071
2069,18.5228185
2070,18.47572225
2071,19.39212952
2072,19.13721873
2073,20.07037252
2074,19.19290822
2075,19.22592061
2076,19.52738088
2077,19.18633677
2078,19.81543121
2079,19.3242686
2080,19.21600749
2081,19.07809855
2082,19.40833944
2083,19.92702382
2084,19.59354808
2085,20.11226552
2086,20.59930573
2087,19.92024638
2088,20.76684469
2089,20.15477905
2090,20.23343048
2091,19.85178528
2092,19.95417684
2093,20.66558482
2094,20.65783844
2095,21.05409393
2096,21.39654439
2097,20.82794088
2098,21.08012034
2099,20.67208252
