Year,Annual mean temperature 
2006,10.09211629
2007,9.857993062
2008,9.932847595
2009,9.388609823
2010,9.858529663
2011,8.970343526
2012,10.40399068
2013,9.918977356
2014,8.563226318
2015,9.528390503
2016,10.91673431
2017,8.990668233
2018,9.937994893
2019,10.76773987
2020,11.09447632
2021,10.28088786
2022,10.50248617
2023,10.64044342
2024,10.71290741
2025,11.55250702
2026,10.66950887
2027,10.48531748
2028,10.1954895
2029,11.78233236
2030,10.54067637
2031,10.86217143
2032,11.63062185
2033,9.920330302
2034,10.10471242
2035,10.19911092
2036,10.31854909
2037,10.919664
2038,11.51888682
2039,11.20220591
2040,10.72085724
2041,12.3691803
2042,11.67362366
2043,11.47220256
2044,10.59866994
2045,11.63725179
2046,11.42500712
2047,11.56556854
2048,10.78500773
2049,11.46365255
2050,12.35045776
2051,11.92788086
2052,11.48703156
2053,12.45021464
2054,12.12499898
2055,12.86810964
2056,12.17748922
2057,12.59640147
2058,11.96418152
2059,12.07138977
2060,11.63241475
2061,12.85878398
2062,13.25720876
2063,12.67107798
2064,12.9337148
2065,13.81149699
2066,12.60007629
2067,13.17052867
2068,13.79234212
2069,12.96050669
2070,13.87382406
2071,13.72774913
2072,13.18551534
2073,13.34680328
2074,12.35538635
2075,14.02527517
2076,13.20940552
2077,12.85507609
2078,13.39683431
2079,13.10306193
2080,13.68754985
2081,12.69995778
2082,14.52814382
2083,13.60382233
2084,13.51840617
2085,14.39875437
2086,14.54519806
2087,13.5993337
2088,14.32289785
2089,14.23791911
2090,13.36713562
2091,14.04964091
2092,14.25717316
2093,13.74204661
2094,14.92230632
2095,13.8474467
2096,14.82974904
2097,14.5960556
2098,15.20993195
2099,14.63555552
