Year,Annual mean temperature 
2006,3.589397685
2007,3.198256429
2008,3.333729045
2009,5.468085225
2010,3.080481466
2011,4.655503845
2012,4.083159383
2013,2.884690857
2014,2.78728892
2015,2.124637858
2016,3.108862813
2017,4.155330912
2018,5.04568634
2019,4.454316711
2020,5.357713318
2021,5.811217244
2022,6.373760478
2023,4.337889608
2024,5.270903524
2025,5.46672465
2026,4.118854777
2027,5.796525574
2028,4.970335897
2029,3.982509867
2030,4.139156596
2031,5.074924723
2032,4.844572957
2033,5.327508545
2034,5.34869283
2035,5.264835612
2036,4.973631795
2037,4.696427917
2038,4.49263916
2039,5.180828349
2040,3.671403503
2041,3.545337931
2042,5.144133504
2043,5.681110636
2044,5.897233582
2045,4.908120728
2046,6.161032613
2047,4.891374207
2048,5.0784139
2049,4.979386902
2050,4.984933472
2051,5.664966838
2052,6.528464254
2053,6.379576619
2054,6.104730225
2055,6.418066915
2056,6.943421936
2057,7.259667969
2058,7.310484823
2059,6.595173136
2060,6.827605184
2061,6.674228923
2062,6.397312419
2063,6.639042155
2064,6.527627563
2065,6.424836731
2066,7.582988993
2067,6.962251282
2068,7.534727987
2069,6.686850484
2070,7.069482422
2071,6.978712972
2072,7.221307373
2073,6.732235209
2074,7.495207723
2075,6.483590698
2076,7.376168823
2077,6.858717855
2078,7.340015666
2079,6.962909953
2080,6.909837341
2081,7.373635864
2082,7.646740214
2083,7.757470703
2084,8.115741984
2085,8.311748759
2086,7.454899089
2087,7.958182271
2088,8.670131938
2089,8.465285238
2090,8.880016581
2091,8.754345194
2092,7.921894328
2093,8.982021586
2094,9.91758372
2095,8.10717926
2096,8.318373617
2097,9.631105042
2098,9.004998779
2099,8.782329814
