Year,Annual mean temperature 
2006,9.800042725
2007,9.016374207
2008,10.15407461
2009,9.737265523
2010,8.910279846
2011,9.405081685
2012,9.325313822
2013,10.62375285
2014,9.328886922
2015,8.988890584
2016,9.210420227
2017,9.417749023
2018,10.99062754
2019,9.881773885
2020,10.25686798
2021,10.10450389
2022,9.998488363
2023,10.50203094
2024,9.656055705
2025,9.183117167
2026,10.09089305
2027,10.77669169
2028,10.77910512
2029,11.15916341
2030,11.22669373
2031,9.32357432
2032,9.660440063
2033,10.4866984
2034,9.373976644
2035,9.950484212
2036,10.08995209
2037,10.99252981
2038,11.72954712
2039,10.4221995
2040,10.9671697
2041,12.30735168
2042,10.12083588
2043,11.51250356
2044,11.39924011
2045,11.78201955
2046,10.73289642
2047,11.11211039
2048,11.75879313
2049,11.90790965
2050,11.03327332
2051,12.18911896
2052,12.05226034
2053,11.12845256
2054,11.42745361
2055,10.17581584
2056,11.7611735
2057,12.82751872
2058,10.98686371
2059,11.86435089
2060,11.23468933
2061,12.37497864
2062,12.92251485
2063,12.90121104
2064,12.20656738
2065,11.45913086
2066,12.15615997
2067,12.65226898
2068,13.51571554
2069,12.21368052
2070,13.15230459
2071,12.23570658
2072,10.9491745
2073,12.34916077
2074,13.16873322
2075,13.01403453
2076,14.65501811
2077,13.19703827
2078,12.81993001
2079,12.48435364
2080,14.06194712
2081,11.86927439
2082,13.90467224
2083,13.70401917
2084,12.06267192
2085,13.21702983
2086,12.4052063
2087,13.63649648
2088,13.2691335
2089,14.80274099
2090,13.100295
2091,14.11561737
2092,14.42493083
2093,13.65462392
2094,13.76101329
2095,13.89833221
2096,14.3765859
2097,14.2496404
2098,12.90565135
2099,14.69956106
