Year,Annual mean temperature 
2006,7.841373698
2007,8.631356812
2008,7.272724406
2009,8.958210246
2010,7.876850382
2011,8.259538269
2012,8.292258199
2013,9.229666646
2014,8.308183289
2015,7.08139445
2016,7.855523682
2017,8.355045573
2018,9.03421936
2019,9.565502421
2020,9.162281291
2021,7.900755819
2022,9.084265645
2023,7.841795858
2024,8.024781799
2025,8.962055461
2026,10.15263265
2027,10.03776194
2028,8.959588623
2029,8.714631653
2030,9.383322652
2031,9.329863485
2032,9.764721171
2033,9.041251119
2034,9.981205241
2035,8.714690145
2036,8.971704102
2037,9.408537801
2038,8.31514384
2039,9.604549662
2040,10.13608449
2041,10.37664439
2042,10.08736572
2043,9.740309652
2044,10.33731232
2045,8.684063212
2046,10.05032756
2047,8.966416931
2048,10.50987396
2049,10.42254283
2050,10.24438121
2051,12.40220795
2052,11.10250498
2053,11.37762349
2054,12.50166982
2055,11.39258219
2056,10.89218547
2057,11.74700317
2058,12.50967051
2059,11.91347402
2060,11.54945272
2061,10.94341176
2062,10.4131663
2063,12.76309611
2064,11.73592784
2065,12.07987111
2066,13.04680278
2067,12.84672445
2068,12.11451619
2069,11.56074422
2070,13.00685527
2071,12.88033956
2072,12.52200979
2073,12.93919779
2074,13.26416423
2075,13.63421021
2076,12.97027232
2077,12.70564677
2078,12.73523865
2079,13.16980387
2080,12.74591217
2081,13.26756185
2082,13.30609792
2083,14.31813202
2084,13.55490774
2085,14.35949351
2086,13.9601888
2087,13.2768748
2088,13.46823527
2089,13.59950155
2090,14.66049093
2091,14.2319987
2092,13.8140274
2093,14.93792623
2094,14.22008158
2095,14.67409668
2096,14.13699748
2097,14.94336599
2098,14.94953817
2099,13.70929362
