Year,Annual mean temperature 
2006,26.78186696
2007,26.40830892
2008,26.72888336
2009,27.32003428
2010,26.51878001
2011,26.11871236
2012,26.65207062
2013,27.43456167
2014,26.13800964
2015,26.71607869
2016,26.32998556
2017,26.54707743
2018,27.13324636
2019,26.54121297
2020,27.58053487
2021,27.17917023
2022,27.09292501
2023,28.48564301
2024,27.27202759
2025,28.03907928
2026,27.30280202
2027,26.49233907
2028,26.87587891
2029,27.46203257
2030,27.58119609
2031,27.11420848
2032,28.67321421
2033,28.19527334
2034,27.23344065
2035,27.73779195
2036,28.01214498
2037,27.86256053
2038,28.77804718
2039,27.92710266
2040,28.5214503
2041,27.80119222
2042,27.12753957
2043,29.3691625
2044,29.96124166
2045,27.84180094
2046,28.42358297
2047,29.65617778
2048,29.23101451
2049,28.04909668
2050,29.29493357
2051,28.60876363
2052,30.34393209
2053,30.58547618
2054,28.09107361
2055,29.86005809
2056,29.76239421
2057,29.10173442
2058,30.23569387
2059,29.46784108
2060,30.20123698
2061,30.63244527
2062,30.02754873
2063,30.59195353
2064,29.72859853
2065,30.8315623
2066,30.7314621
2067,31.0478302
2068,30.24126587
2069,30.82781118
2070,30.6957133
2071,32.40541738
2072,30.84184672
2073,30.59617259
2074,31.59668376
2075,30.60426229
2076,31.10682068
2077,31.06033986
2078,30.09240367
2079,31.31161397
2080,30.37949524
2081,30.93625285
2082,31.36051839
2083,32.11193492
2084,32.12190908
2085,32.44647369
2086,31.93148193
2087,31.52448934
2088,31.57072856
2089,32.64838816
2090,31.98527425
2091,32.12587128
2092,31.51862488
2093,32.10891876
2094,33.0386851
2095,32.41557973
2096,32.74741007
2097,32.70303243
2098,32.08770142
2099,31.61486715
