Year,Annual mean temperature 
2006,18.11694234
2007,18.31723429
2008,19.27223358
2009,19.64720052
2010,20.12763621
2011,20.41669362
2012,19.69075928
2013,19.09554189
2014,21.41030273
2015,20.51553752
2016,19.16768545
2017,19.72805176
2018,21.00093231
2019,18.83382823
2020,20.84177043
2021,20.99808655
2022,20.26138713
2023,19.05405833
2024,20.11817322
2025,21.04091288
2026,18.78803151
2027,19.76062419
2028,21.48987732
2029,20.0185257
2030,19.39549154
2031,21.36902771
2032,19.94137472
2033,19.72079112
2034,22.55529938
2035,20.63494771
2036,20.68681997
2037,20.82473145
2038,21.90257924
2039,20.4955129
2040,22.07030131
2041,21.65226644
2042,22.99578756
2043,20.52787933
2044,19.85324504
2045,21.8656428
2046,20.4300883
2047,21.24484151
2048,21.17014211
2049,23.22106323
2050,21.92369741
2051,21.37038574
2052,22.85451406
2053,20.63487396
2054,21.85223033
2055,21.58109436
2056,23.04742839
2057,22.71343384
2058,22.08503876
2059,23.25963745
2060,22.62005768
2061,23.04736481
2062,22.5808375
2063,23.72483215
2064,24.51240692
2065,23.00131378
2066,23.37511342
2067,22.43283234
2068,23.37244822
2069,25.17435608
2070,24.52487844
2071,22.3256724
2072,24.22317912
2073,24.78388875
2074,23.87019246
2075,24.35363922
2076,23.36600138
2077,23.90272929
2078,25.97426249
2079,23.43203888
2080,25.27979685
2081,25.49842224
2082,25.83055776
2083,24.46888631
2084,25.15211385
2085,24.72930044
2086,24.25523783
2087,23.84734497
2088,25.40166626
2089,25.04305674
2090,26.60403849
2091,24.98397725
2092,26.17242076
2093,25.52541504
2094,26.70264333
2095,23.84998474
2096,25.72582906
2097,25.89090627
2098,25.23890584
2099,27.25441895
