Year,Annual mean temperature 
2006,17.09965922
2007,18.00660095
2008,15.74269765
2009,16.73061778
2010,15.74631907
2011,17.30295461
2012,19.95821788
2013,17.85726064
2014,16.93841451
2015,16.78968455
2016,15.56013896
2017,17.23412221
2018,16.79621277
2019,17.46549886
2020,16.09594625
2021,17.74223735
2022,17.8891744
2023,17.59850972
2024,16.6217158
2025,18.26307322
2026,16.76767629
2027,17.09285889
2028,18.16999207
2029,18.30497131
2030,18.38736877
2031,19.13721873
2032,17.89046377
2033,16.5029007
2034,17.08873393
2035,19.28606313
2036,19.90137889
2037,18.83025004
2038,17.49033
2039,19.00974935
2040,17.62301025
2041,18.01117096
2042,18.13394318
2043,16.63644562
2044,17.46193085
2045,18.77786662
2046,17.0039917
2047,19.22021891
2048,18.93837382
2049,18.96420695
2050,18.55243073
2051,18.49899699
2052,20.01839345
2053,18.51712443
2054,20.16362152
2055,18.01455078
2056,19.97824249
2057,19.42271067
2058,19.01316223
2059,18.6427653
2060,19.51527557
2061,18.86563009
2062,19.30681763
2063,18.87998352
2064,21.32815959
2065,18.91430308
2066,18.73159688
2067,18.06083323
2068,19.14316203
2069,19.16884003
2070,19.26043599
2071,18.48587697
2072,19.91781514
2073,19.88541565
2074,20.14406484
2075,21.12112071
2076,21.17242584
2077,18.75564219
2078,19.99804077
2079,19.72613932
2080,21.17989502
2081,19.8644043
2082,20.65021667
2083,18.86223246
2084,21.34909719
2085,19.99516958
2086,19.71678314
2087,20.88454336
2088,21.76771698
2089,19.75357208
2090,20.43627574
2091,20.62175903
2092,19.43194733
2093,19.74570618
2094,19.37122752
2095,19.72601725
2096,20.57013855
2097,21.04801331
2098,21.38526815
2099,21.44171549
