Year,Annual mean temperature 
2006,12.93972931
2007,11.98720957
2008,11.38515116
2009,12.31187337
2010,12.72139638
2011,12.46591593
2012,13.14183451
2013,13.03173726
2014,12.28997192
2015,12.25983073
2016,11.21676025
2017,13.34825287
2018,13.42697805
2019,14.2068217
2020,12.99975739
2021,12.14405467
2022,13.11056671
2023,11.39405721
2024,11.65889638
2025,13.49916229
2026,12.88120931
2027,13.34798838
2028,12.93126577
2029,12.34293009
2030,12.85710297
2031,14.20772959
2032,14.30749919
2033,13.95145823
2034,15.29520569
2035,12.98406372
2036,13.02477163
2037,12.98856506
2038,12.65828857
2039,12.79075012
2040,13.6331192
2041,14.19801992
2042,14.13170268
2043,13.45550944
2044,13.01394806
2045,14.22636312
2046,14.72520345
2047,13.14755656
2048,13.82971598
2049,14.13368632
2050,13.78421682
2051,15.21972046
2052,14.46578623
2053,14.45930888
2054,15.23693746
2055,15.01453552
2056,14.67774353
2057,15.32677867
2058,15.77346954
2059,14.98838196
2060,15.54550578
2061,14.09132284
2062,14.19346263
2063,15.98654327
2064,16.54817607
2065,15.05010122
2066,16.7717453
2067,16.19475962
2068,16.26500854
2069,16.61106008
2070,16.74887746
2071,16.18084361
2072,15.95460663
2073,16.08923492
2074,17.19631348
2075,17.44111532
2076,16.33487854
2077,16.07185771
2078,16.3052536
2079,16.00980275
2080,15.91130727
2081,17.22023163
2082,16.44746297
2083,17.24055379
2084,18.00341441
2085,16.79079336
2086,16.59204508
2087,16.52083995
2088,17.39635366
2089,17.14455058
2090,19.10115458
2091,17.16555939
2092,17.90554454
2093,17.43786774
2094,17.79652049
2095,16.75794627
2096,18.09200185
2097,18.56642812
2098,17.12669017
2099,17.46599986
