Year,Annual mean temperature 
2006,19.73014221
2007,20.32822062
2008,19.11143138
2009,19.91975555
2010,19.00544128
2011,19.04699097
2012,19.60400035
2013,20.59454244
2014,19.62764893
2015,20.19033203
2016,20.45202281
2017,19.54584401
2018,20.06613057
2019,19.15168152
2020,20.59445089
2021,19.58521169
2022,20.25585327
2023,20.63980001
2024,20.54666545
2025,20.72593079
2026,21.55048269
2027,20.61672363
2028,20.56151479
2029,20.8355957
2030,20.57752635
2031,19.94998576
2032,21.38980255
2033,20.82812907
2034,20.10325267
2035,20.23841248
2036,21.13136953
2037,20.23595327
2038,20.86382955
2039,20.91588236
2040,20.52573293
2041,21.71963908
2042,21.01608175
2043,21.98478343
2044,23.00018209
2045,20.67343801
2046,23.37640788
2047,20.77211405
2048,22.09752045
2049,20.36458232
2050,22.04090271
2051,22.80105235
2052,20.77019653
2053,22.1489502
2054,21.62434285
2055,22.57431183
2056,22.58863983
2057,22.3547938
2058,23.21116536
2059,23.59563344
2060,21.82889201
2061,23.66114451
2062,23.22807973
2063,23.48540649
2064,21.80077515
2065,22.79621785
2066,23.01527049
2067,23.40586751
2068,23.32107442
2069,22.47001038
2070,23.64723867
2071,23.34537659
2072,22.55417023
2073,23.35080363
2074,23.38290049
2075,23.3053833
2076,23.58059591
2077,24.28085225
2078,22.13117371
2079,23.41643168
2080,24.1955073
2081,22.89072825
2082,24.20013326
2083,24.38240458
2084,24.49302572
2085,24.66809235
2086,24.67862854
2087,24.10265249
2088,25.07952016
2089,25.81743266
2090,24.09959056
2091,24.57325134
2092,25.01047668
2093,24.31492767
2094,25.04328308
2095,25.16366984
2096,24.86266734
2097,25.29265747
2098,24.77509969
2099,24.58148855
