Year,Annual mean temperature 
2006,-8.998308563
2007,-9.789710744
2008,-7.63229599
2009,-8.94598999
2010,-7.505367025
2011,-8.033295695
2012,-8.250761414
2013,-5.95851237
2014,-7.83468221
2015,-8.836820984
2016,-4.867844645
2017,-6.01555481
2018,-6.317363485
2019,-6.874820455
2020,-6.298560842
2021,-9.230230713
2022,-7.115478261
2023,-5.483091736
2024,-5.736226145
2025,-6.846746826
2026,-4.398358409
2027,-6.47702891
2028,-6.486987813
2029,-4.379934692
2030,-3.927608236
2031,-5.133674367
2032,-3.698407237
2033,-4.511882528
2034,-8.061917369
2035,-2.569893901
2036,-4.154571279
2037,-4.460471853
2038,-2.971820577
2039,-2.246300761
2040,-3.283491516
2041,-3.361077372
2042,-3.820726776
2043,-3.479224904
2044,-1.289673869
2045,-2.141087596
2046,-1.292641703
2047,0.139070129
2048,-0.478997294
2049,-2.686314646
2050,-0.341762288
2051,-0.591439311
2052,-2.937363688
2053,-1.577678426
2054,-1.508437856
2055,1.639642334
2056,0.737097677
2057,-1.493952179
2058,-0.354627991
2059,0.829265849
2060,-0.215673828
2061,0.849320984
2062,2.087505595
2063,1.660147603
2064,1.633467611
2065,2.232377625
2066,1.822312927
2067,1.576135254
2068,0.773077901
2069,0.963304138
2070,0.850086466
2071,2.722487386
2072,2.208276367
2073,2.4335495
2074,1.437443034
2075,2.482331848
2076,3.045747375
2077,2.377763367
2078,2.789585368
2079,3.451969401
2080,3.368458049
2081,3.702752686
2082,3.890016174
2083,3.738532003
2084,4.202579753
2085,2.960460917
2086,3.637401835
2087,4.035661316
2088,4.873694356
2089,5.307369486
2090,4.370085653
2091,4.828965759
2092,5.059279378
2093,4.91745402
2094,5.11915741
2095,5.060044861
2096,4.24133962
2097,4.794554647
2098,5.413222249
2099,6.192455546
