Year,Annual mean temperature 
2006,18.38634389
2007,18.40049896
2008,18.40226135
2009,19.38240967
2010,18.77656199
2011,18.38786469
2012,17.65252838
2013,18.6091807
2014,18.56767171
2015,19.1130717
2016,19.2383311
2017,18.18275859
2018,18.97833913
2019,18.96565399
2020,19.82319031
2021,19.53980662
2022,18.46235046
2023,19.64660543
2024,19.44413401
2025,19.5796168
2026,19.8125117
2027,18.97801361
2028,18.90286153
2029,19.07278849
2030,20.56222941
2031,19.1972112
2032,20.96586253
2033,20.00140025
2034,20.01055552
2035,20.04829051
2036,19.08690796
2037,19.72752787
2038,19.65209351
2039,18.97682088
2040,19.49684296
2041,21.11386261
2042,20.3881724
2043,19.61325226
2044,19.48783773
2045,20.15731201
2046,20.42980855
2047,20.16587219
2048,21.30638275
2049,20.78359375
2050,21.04979604
2051,21.09770864
2052,21.39137421
2053,21.46217244
2054,21.98931529
2055,22.95862732
2056,21.35055695
2057,21.94025065
2058,22.30335897
2059,21.64115295
2060,21.26154226
2061,21.82098541
2062,22.00652212
2063,22.17500712
2064,21.8998937
2065,22.59877675
2066,21.67418823
2067,23.22826284
2068,22.78039958
2069,23.52859904
2070,22.89255422
2071,22.93725484
2072,23.50778097
2073,24.34769338
2074,22.67411957
2075,23.09463399
2076,22.77695872
2077,22.24895121
2078,23.85957998
2079,22.92850393
2080,22.47651571
2081,23.58905182
2082,23.59374135
2083,23.3362264
2084,23.5564209
2085,22.65802917
2086,23.69364319
2087,24.17808431
2088,24.54733175
2089,23.20762278
2090,23.22721761
2091,23.49436595
2092,25.02804972
2093,23.53842061
2094,23.64642232
2095,24.35740306
2096,24.73389842
2097,24.99867655
2098,25.16153107
2099,24.98327026
