Year,Annual mean temperature 
2006,27.95989889
2007,27.90719757
2008,27.26949972
2009,27.98679759
2010,27.43795166
2011,27.65687968
2012,28.13624471
2013,28.42821401
2014,27.51668955
2015,27.15615743
2016,27.13579203
2017,28.26073354
2018,28.01165924
2019,27.89229482
2020,27.90000814
2021,28.01683451
2022,28.06154277
2023,28.7814448
2024,28.17613373
2025,27.80245107
2026,28.48694
2027,29.00255483
2028,28.23063049
2029,28.08918406
2030,28.99533742
2031,28.42564036
2032,28.39122162
2033,29.00620422
2034,28.93410899
2035,29.16922404
2036,28.30794423
2037,29.36087697
2038,28.75874481
2039,28.67813772
2040,29.30047506
2041,29.2916097
2042,28.8126592
2043,29.02870585
2044,29.87789052
2045,29.66390381
2046,28.89591624
2047,28.73407898
2048,29.45857137
2049,29.05891571
2050,29.60787354
2051,29.75212758
2052,29.23013204
2053,29.78642426
2054,29.24980062
2055,30.04823456
2056,30.41098684
2057,29.89192352
2058,30.50022024
2059,30.03409729
2060,30.29794718
2061,30.55912679
2062,30.51955821
2063,30.69219106
2064,29.98111877
2065,30.42089233
2066,30.26808319
2067,30.33763021
2068,31.82836049
2069,30.39928589
2070,31.62418518
2071,31.46150614
2072,30.95951487
2073,30.96305491
2074,30.99817556
2075,31.24151255
2076,31.48138326
2077,32.37244568
2078,30.47956746
2079,30.89128011
2080,31.13448995
2081,30.7926829
2082,31.13119151
2083,32.63318787
2084,31.44984843
2085,31.37802022
2086,32.10826263
2087,31.64207357
2088,32.02510986
2089,31.56679942
2090,31.60432587
2091,31.81376038
2092,31.54039408
2093,32.40778249
2094,32.27021434
2095,32.40657196
2096,32.08064677
2097,32.09452209
2098,32.58451233
2099,31.90051676
