Year,Annual mean temperature 
2006,23.41241862
2007,22.42373301
2008,22.61371511
2009,21.00845744
2010,22.01830699
2011,22.98181814
2012,24.08245239
2013,22.37083588
2014,21.6214208
2015,20.3337265
2016,22.15785116
2017,23.82856649
2018,22.74306895
2019,21.72929281
2020,22.80483653
2021,20.42164001
2022,22.53697357
2023,23.54142151
2024,22.06462758
2025,21.63132121
2026,23.76601054
2027,24.59646759
2028,20.323821
2029,24.36167552
2030,23.53617503
2031,22.52947896
2032,23.47277985
2033,23.91256866
2034,24.14536692
2035,24.29110107
2036,24.07488403
2037,25.04611867
2038,22.58032125
2039,22.6161972
2040,24.12651469
2041,24.30829773
2042,22.84505107
2043,25.42950083
2044,25.70508219
2045,24.70504913
2046,24.98196818
2047,23.7508077
2048,23.63449758
2049,22.69331767
2050,24.99832052
2051,24.79293467
2052,24.43646393
2053,24.00412649
2054,22.33967997
2055,26.3679774
2056,26.65324046
2057,24.6678304
2058,26.33537191
2059,23.48458252
2060,24.55721181
2061,26.47457021
2062,26.54137828
2063,26.91383769
2064,21.6474472
2065,25.29289653
2066,25.95467021
2067,25.79593302
2068,26.51971334
2069,24.46237081
2070,27.28911235
2071,26.94157817
2072,27.64562378
2073,27.38992208
2074,26.94169006
2075,25.49749908
2076,27.10072988
2077,26.89113007
2078,24.70029348
2079,27.59563344
2080,26.53399556
2081,25.11330566
2082,27.42551829
2083,28.27724864
2084,27.08680623
2085,27.02822774
2086,26.7148936
2087,27.62754466
2088,27.65375417
2089,28.46414337
2090,27.22378693
2091,26.62227529
2092,27.61598867
2093,28.64384104
2094,27.67381694
2095,28.15080922
2096,27.91751506
2097,28.70427348
2098,27.29388326
2099,28.34855042
