Year,Annual mean temperature 
2006,18.24730072
2007,17.23030752
2008,16.38541565
2009,19.2158549
2010,17.6497996
2011,17.38210958
2012,17.97197876
2013,18.96213684
2014,17.98500722
2015,16.89063924
2016,18.47458801
2017,18.95980733
2018,18.26619873
2019,17.82708384
2020,18.40327861
2021,19.30772044
2022,19.69474182
2023,18.9326594
2024,17.62571106
2025,18.5236323
2026,19.13663127
2027,19.91987762
2028,17.61569621
2029,18.18804576
2030,20.28058014
2031,17.69195964
2032,19.58022461
2033,20.05148722
2034,17.87674611
2035,17.81308899
2036,19.05012665
2037,19.65734762
2038,20.26103109
2039,20.58362478
2040,19.86028188
2041,20.24905039
2042,19.94803518
2043,20.32488912
2044,20.83915863
2045,20.88856913
2046,19.82767893
2047,20.04242096
2048,20.47860107
2049,19.13867594
2050,20.22840017
2051,20.84945831
2052,19.39347738
2053,21.1546697
2054,19.04745127
2055,20.66763713
2056,21.33731232
2057,20.99754995
2058,21.94302521
2059,21.56854909
2060,20.88955841
2061,22.79917297
2062,20.91845093
2063,22.77027283
2064,21.93906301
2065,21.82774251
2066,23.20182953
2067,22.54910177
2068,22.72774913
2069,21.25628306
2070,21.82830709
2071,22.12892303
2072,22.5258016
2073,23.0483134
2074,23.39975128
2075,22.47879181
2076,20.46111196
2077,23.80923869
2078,21.92078044
2079,21.92944743
2080,22.75974935
2081,23.11370494
2082,23.67950592
2083,22.65515798
2084,22.64219309
2085,21.9645223
2086,24.45669454
2087,23.6587031
2088,22.34661509
2089,25.31302287
2090,24.41446075
2091,25.23579051
2092,23.12247874
2093,23.4875885
2094,23.67858276
2095,24.786999
2096,23.32915141
2097,25.58972575
2098,24.58780568
2099,26.19474945
