Year,Annual mean temperature 
2006,25.19629059
2007,25.77425537
2008,25.19753927
2009,25.21578369
2010,25.38790538
2011,25.03561045
2012,26.29443766
2013,25.101297
2014,25.94899648
2015,25.48658651
2016,25.67049815
2017,25.17630412
2018,25.83335266
2019,25.93693441
2020,25.96107127
2021,25.79596608
2022,26.33666382
2023,25.71780802
2024,25.86438649
2025,25.9777771
2026,25.89978943
2027,25.74162191
2028,26.4256073
2029,26.44201558
2030,25.91225077
2031,26.48761902
2032,26.31248881
2033,25.93440908
2034,26.24283752
2035,26.07070313
2036,26.38866069
2037,26.58391978
2038,27.03902588
2039,26.31531423
2040,27.35496928
2041,26.79523112
2042,27.28430583
2043,27.10800069
2044,26.61885478
2045,27.25242767
2046,26.88572845
2047,27.0898351
2048,26.58078664
2049,26.87296448
2050,27.51010539
2051,27.62713776
2052,27.42863108
2053,26.78856812
2054,27.35035604
2055,27.65608877
2056,27.45091146
2057,27.84157461
2058,27.2896642
2059,27.57435506
2060,28.01795349
2061,27.78125153
2062,27.37707672
2063,27.66521606
2064,27.65448659
2065,28.38328196
2066,28.13921763
2067,28.36641083
2068,27.85089773
2069,28.85853221
2070,28.80542399
2071,28.1108846
2072,28.68419291
2073,28.71419678
2074,28.17218933
2075,28.93392843
2076,29.34935404
2077,28.5758606
2078,28.84387868
2079,28.90323537
2080,28.02916107
2081,29.25325419
2082,29.30823669
2083,28.63268941
2084,29.29925944
2085,28.65633545
2086,28.26244507
2087,29.40151876
2088,29.20609436
2089,28.75517426
2090,29.51243744
2091,29.67324982
2092,29.61420339
2093,29.29930522
2094,29.469929
2095,28.76351573
2096,29.51636149
2097,29.9762207
2098,29.72150065
2099,29.54702148
